comment,clean_comment
"bukan ngantuk bang, emang tolol dan kosong aja",bukan ngantuk bang emang tolol dan kosong aja
Kosong😂,kosong
"Presiden dan wapresnya sepakat sabtu minggu libur tugas, pernyataan tambahan si wapres kerja kalo ada acara aja🤗",presiden dan wapresnya sepakat sabtu minggu libur tugas pernyataan tambahan si wapres kerja kalo ada acara aja
itu pegawainya yang di belakang ga pada ikut ketawa kah ?,itu pegawainya yang di belakang ga pada ikut ketawa kah
Ini Eps TerGOKIL 🤣,ini eps tergokil
Ini mah AI ya... Wkwk,ini mah ai ya wkwk
bangke bangke ini dia ini wakil presiden loh cok,bangke bangke ini dia ini wakil presiden loh cok
GUA KIRA KONTEN MUTAN ANJENGGG😂,gua kira konten mutan anjenggg
Wakil presiden Konoha 🙃,wakil presiden konoha
"Coki, elu gak ada rem-nya",coki elu gak ada remnya
piss !!!!,piss
"Masuk inilah calon pemimpin masa Depan dewasa dalam memahami sesuatu sudah jelas itu hanya standupcomedy yang intinya bertujuan untuk membuat orang tertawa , yang baper sungguh kurang Dewasa dan Bijaksana, sekolah lagi dah 😅",masuk inilah calon pemimpin masa depan dewasa dalam memahami sesuatu sudah jelas itu hanya standupcomedy yang intinya bertujuan untuk membuat orang tertawa yang baper sungguh kurang dewasa dan bijaksana sekolah lagi dah
"Orang nya mah sebenernya biasa aja di kritik atau di roasting,, tapi yg heboh kan yg orang2 sekitar yang ingin menjilat jabatan dari doi,,iya gk sih 🤣🤣🤣",orang nya mah sebenernya biasa aja di kritik atau di roasting tapi yg heboh kan yg orang sekitar yang ingin menjilat jabatan dari doiiya gk sih
19jt lapangan kerja🎉,jt lapangan kerja
Terlalu banyak ekstras nnya massssssssssssssssssssssss,terlalu banyak ekstras nnya massssssssssssssssssssssss
Mantp,mantp
Rikaguning,rikaguning
Langsung di roasting depan orang nya cokkk😂😂,langsung di roasting depan orang nya cokkk
Wapres di giniin Anjir wkwkwk 😂 tp bnr sih mas Gibran ini bnr² gak baperan njir 😂,wapres di giniin anjir wkwkwk tp bnr sih mas gibran ini bnr gak baperan njir
Sekalian bahas karyawan mbg yang diangkat jadi PPPK dong..,sekalian bahas karyawan mbg yang diangkat jadi pppk dong
Buzzer lagi nyapu nii,buzzer lagi nyapu nii
8:42 tolong diperlihatkan di depan kamera 😭😭😭😭😭😭😭,tolong diperlihatkan di depan kamera
Ini outlet bebek nya di jagain berapa personel Paspampres slim.😅😅😅,ini outlet bebek nya di jagain berapa personel paspampres slim
Satire banget 😂,satire banget
"Saya mau di hate dong sini-sini, spill siapa ajah yg mau komen di sini 
saya prediksi dulu kalimatnya : ngantuk,fufufafa,mangkrak,pria olos, Mulyo, 19 juta (dalam satu malam atau mau dalam apa ini, PT-nya nyewa jin rorojongrang ah biar jadi semalem), buzzer, ciecie, ehem, ada yg kepanasan ini, bayar berapa mas 😎,gajah,NU, Muhammad, Amerika, antek asing, Venezuela 🤣🤣🤣🤣🤣🤣🗿

Saya menikmati pembicaraannya, saya pendukung pemerintah sekrang hayo sini semuanya ada yg asin di sini😁🎣",saya mau di hate dong sinisini spill siapa ajah yg mau komen di sini saya prediksi dulu kalimatnya ngantukfufufafamangkrakpria olos mulyo juta dalam satu malam atau mau dalam apa ini ptnya nyewa jin rorojongrang ah biar jadi semalem buzzer ciecie ehem ada yg kepanasan ini bayar berapa mas gajahnu muhammad amerika antek asing venezuela saya menikmati pembicaraannya saya pendukung pemerintah sekrang hayo sini semuanya ada yg asin di sini
Final bos donk😂,final bos donk
Pembangunan untuk di kurupkan,pembangunan untuk di kurupkan
Ini ga nanya lapangan pekerjaan ya?,ini ga nanya lapangan pekerjaan ya
kacauuu kacau,kacauuu kacau
Sattt kocak 🤣🤣🤣🤣,sattt kocak
"Roasting owner Markobar ✅
Roasting Wapres Indonesia ✅
Roasting presiden 2029 🔜",roasting owner markobar roasting wapres indonesia roasting presiden
"Paman coki glowing bener, jadikeliatan gambar tato nya.. Sebelomnya kan kek item doang satttt😂",paman coki glowing bener jadikeliatan gambar tato nya sebelomnya kan kek item doang satttt
"Kalo gw jadi Gibran sih, tretan cm tinggal tahi lalatnya doank

Sisanya ilanggg 🤣🤣🤣",kalo gw jadi gibran sih tretan cm tinggal tahi lalatnya doank sisanya ilanggg
Anjay ada anaknya pria solo,anjay ada anaknya pria solo
Font buat nama awal tadi apa,font buat nama awal tadi apa
Coki dan tretan bner2 nih. Nancep trus omongannya. 😂,coki dan tretan bner nih nancep trus omongannya
tegang banget nih abang tretan muslim ,tegang banget nih abang tretan muslim
"emang bansattt
Narasumbernya malah makin  mlongo dengar roy suryo sama panji lucuan mana😂😂😂😂",emang bansattt narasumbernya malah makin mlongo dengar roy suryo sama panji lucuan mana
"Mungkij kalo durasi nya sejam lebih, gibran udh berubah mode jadi fufufafa",mungkij kalo durasi nya sejam lebih gibran udh berubah mode jadi fufufafa
"Kelas, komedi di balas komedi, 👍",kelas komedi di balas komedi
"Mas gibran ini ulung berpolitik seperti pak jokowi, dia tau cara mengcounter pandji dengan elegan dan di balas dengan lawakan. Saya malah tambah ngefans mas gibran. Asik benner orangnya",mas gibran ini ulung berpolitik seperti pak jokowi dia tau cara mengcounter pandji dengan elegan dan di balas dengan lawakan saya malah tambah ngefans mas gibran asik benner orangnya
Ga nanggung Langsung depan muka aja cok,ga nanggung langsung depan muka aja cok
anjirr kirain pake AI 😂😂😂😂😂,anjirr kirain pake ai
"""Santai saja"" 😂",santai saja
Panji atau Roy Suryo itu paling anjing🤣,panji atau roy suryo itu paling anjing
"Wi wok de wok, wi tok de tok",wi wok de wok wi tok de tok
Nitip komen,nitip komen
"Kocak, wapres emang gk ada kerjaan ya? Aneh",kocak wapres emang gk ada kerjaan ya aneh
"Bila kalian tidak tau bagaimana rupa senyum iblis, tu ada coki 🤣🤣🤣",bila kalian tidak tau bagaimana rupa senyum iblis tu ada coki
Numpang komen doang gak liat kontennya. Ini yg dibahas cuma masalah receh ngantuk doang apa materi Pandji yg lain yg lebih berat juga dibahas ?,numpang komen doang gak liat kontennya ini yg dibahas cuma masalah receh ngantuk doang apa materi pandji yg lain yg lebih berat juga dibahas
ASU ASUU🤣🤣,asu asuu
Coki ketawa nya ajg Banget wkwkwk😂😂,coki ketawa nya ajg banget wkwkwk
Fufufafa has join,fufufafa has join
Itu makanannya di cicipin dulu sama ajudannya nggak ya 😅,itu makanannya di cicipin dulu sama ajudannya nggak ya
murid baru sekolah normal,murid baru sekolah normal
Emangggg anj**ggggg 😭😭😭😭😭😭,emangggg anjggggg
knpa nggak nanya siapa pemilik akun fufufafa cok!!!!,knpa nggak nanya siapa pemilik akun fufufafa cok
Ketawa ngakak salut pak wapres 😂,ketawa ngakak salut pak wapres
Durasinya Kurang Lama Slim😆,durasinya kurang lama slim
"PANJI AMA ROY SURYO LUCUAN MANA??? 😂😂😂, gw mending jawab SPIDERMAN",panji ama roy suryo lucuan mana gw mending jawab spiderman
12:43 Coki anjimmmm😂😂😂,coki anjimmmm
"Sudah ada sertifikat halal nya, kalu ada tolong perlihatkan dikamera 🤣😂",sudah ada sertifikat halal nya kalu ada tolong perlihatkan dikamera
Mas Gibran Kerawa tapi ngak di Shoooooooooooooot :D,mas gibran kerawa tapi ngak di shoooooooooooooot d
Anjirrrr wapres itu cok pake lu gua 😂😂😂,anjirrrr wapres itu cok pake lu gua
Parah lo bang muslim😅,parah lo bang muslim
Paspampres nya melototin cuk wkwkw,paspampres nya melototin cuk wkwkw
Anjing banget roasting depan muka🤣🤣,anjing banget roasting depan muka
"Yaelahh bang, ga asik lahh. Langsung panggi Raja Trakir.. 
Kirain AI atau orang lain, ga taunya beneran Pak Gibran.. 😂",yaelahh bang ga asik lahh langsung panggi raja trakir kirain ai atau orang lain ga taunya beneran pak gibran
Apa ini cuma 18 menit,apa ini cuma menit
Saluuuuutttt,saluuuuutttt
coki mulut lu 😆😆,coki mulut lu
Gibran dustin kayaknya bs lbh meledak daripada dustin sony wakwaw 😂😂😂,gibran dustin kayaknya bs lbh meledak daripada dustin sony wakwaw
Next undang raja sawit sang last boss😅,next undang raja sawit sang last boss
Pria solo itu lagi..,pria solo itu lagi
4:20 😌,
Ke wakil president la lu loe haaaa,ke wakil president la lu loe haaaa
Durasinya kurang panjang😂,durasinya kurang panjang
Bgst 🤣,bgst
wapres ter sabar dan humble,wapres ter sabar dan humble
2:55 Hubungannya ape?! Siang anaknya lahir malemnya diroasting😂 Yak santai ajalah,hubungannya ape siang anaknya lahir malemnya diroasting yak santai ajalah
Itu yg pake jaket ojol kayaknya barisan paspampres kah? Kwk,itu yg pake jaket ojol kayaknya barisan paspampres kah kwk
"Bang muslim kejebak sendiri sama bang coki, pas bilang jangan bilang mahal dong, blok!!😂",bang muslim kejebak sendiri sama bang coki pas bilang jangan bilang mahal dong blok
lawan mas gibran mah susah dia termasuk waprea yg ikut jaman dan teknologi lawak ya lawan lawak lagi nagepi sesuatu sesuain dengan jamanya,lawan mas gibran mah susah dia termasuk waprea yg ikut jaman dan teknologi lawak ya lawan lawak lagi nagepi sesuatu sesuain dengan jamanya
"Nah gini, ini moment yang tepat nunjukin kalau wapres kita beneran slow, klo perlu undang pandji langsung, pasti makin syahdu",nah gini ini moment yang tepat nunjukin kalau wapres kita beneran slow klo perlu undang pandji langsung pasti makin syahdu
Masss wakill diteror ayam gimana mas??,masss wakill diteror ayam gimana mas
Kurang lama ahhh seru padahal,kurang lama ahhh seru padahal
"Fufufafa hrusnya disinggung tu, parah kalean, gak keluar roasting nya
Sbg anak kaskuser, kita patut berbangga member kaskus jd wapres 😂",fufufafa hrusnya disinggung tu parah kalean gak keluar roasting nya sbg anak kaskuser kita patut berbangga member kaskus jd wapres
kok bisa yg belakang gaikut ketawa😭,kok bisa yg belakang gaikut ketawa
19 juta dong tanyain 🗿,juta dong tanyain
sangattt sangattt why,sangattt sangattt why
Biayanya mahal bang muslim nih promosi bebek carok wkwkw,biayanya mahal bang muslim nih promosi bebek carok wkwkw
Aku kira ini konten Ini rekayasa AI....,aku kira ini konten ini rekayasa ai
"bravo mas Gibran , coki gokil loe😂...",bravo mas gibran coki gokil loe
"Gibran nya nyantai, pendukung nya yg ga nyantai😂",gibran nya nyantai pendukung nya yg ga nyantai
"Poinnya panji sbnrnya bukan di gibran, tp pemerintah yg dipimpin prabowo secara keseluruhan. Gibran itu cuma punchline doang 🤣",poinnya panji sbnrnya bukan di gibran tp pemerintah yg dipimpin prabowo secara keseluruhan gibran itu cuma punchline doang
"Yang norak tuh pendukung fanatik nya.....,  antara terlalu bodoh atau tidak bisa mencerna sesuatu ....
😂😂😂",yang norak tuh pendukung fanatik nya antara terlalu bodoh atau tidak bisa mencerna sesuatu
Please.... angkat coki jadi staff khusus percepatan pembangunan Papua_ #Gibran,please angkat coki jadi staff khusus percepatan pembangunan papua gibran
Req wowok sawit udah subskrep,req wowok sawit udah subskrep
Jir kurang durasi nya ini bg gibran luangin waktu 5jam doang biar enak nontonnya,jir kurang durasi nya ini bg gibran luangin waktu jam doang biar enak nontonnya
Mutant baru lagi mas muslim🙏🏼,mutant baru lagi mas muslim
Btw mbak yang di belakang,btw mbak yang di belakang
Lucu bangeyt😭😭😭,lucu bangeyt
Aku ngakak sepanjang video,aku ngakak sepanjang video
Lha emang kita bisa minta dilahirkan dari siapa dan bentuknya seperti apa...wkwkkw pandji oh pandji....keliatan kualitasmu fans abah,lha emang kita bisa minta dilahirkan dari siapa dan bentuknya seperti apawkwkkw pandji oh pandjikeliatan kualitasmu fans abah
Gibran kontol,gibran kontol
Ini ai kan,ini ai kan
Besar banget hatinya pak Gibran,besar banget hatinya pak gibran
Final boss anjjir wkwk,final boss anjjir wkwk
"9:53 kalau ikn, sebenarnya ruwet di pembayaran tukang dan kulinya yang molor bgt, jadi sebenarnya pekerja di sana datang dan pergi orang baru. Coba di up",kalau ikn sebenarnya ruwet di pembayaran tukang dan kulinya yang molor bgt jadi sebenarnya pekerja di sana datang dan pergi orang baru coba di up
Gibran 19 JT lapangan kerja kmren gmn??? program waktu kampanye bnyk kali bg ...skrng kw bilang wapres GK punya program bg....bg klw GK pande jngn jadi wapres la bg ....msh bnyk yg mampu kok.....,gibran jt lapangan kerja kmren gmn program waktu kampanye bnyk kali bg skrng kw bilang wapres gk punya program bgbg klw gk pande jngn jadi wapres la bg msh bnyk yg mampu kok
Tanyain akun fufufafa dong 😂,tanyain akun fufufafa dong
"""Apakah kamu membutuhkan kopi coki?""
Gibran like ""saya tau arahnya kemana ini""

Akaowkkwkwkwkwk",apakah kamu membutuhkan kopi coki gibran like saya tau arahnya kemana ini akaowkkwkwkwkwk
"5-10-15-20 tahun kebelakang serius nanya, ada wapres yang bisa diajak ngobrol se lepas se nyambung ini gak sih sama generasi muda nya?",tahun kebelakang serius nanya ada wapres yang bisa diajak ngobrol se lepas se nyambung ini gak sih sama generasi muda nya
"Ini yang saya senang dari mas Gibran, walaupun beliau wakil presiden, tapi di video ini menunjukkan kalau dia seperti orang biasa pada umumnya",ini yang saya senang dari mas gibran walaupun beliau wakil presiden tapi di video ini menunjukkan kalau dia seperti orang biasa pada umumnya
gilaaa sih gilaaa🤣,gilaaa sih gilaaa
"Udh daya beli masyarakat turun, PHK dimana mana, Wakil presiden kita Gibran lagi 😂😂",udh daya beli masyarakat turun phk dimana mana wakil presiden kita gibran lagi
Keren cukk cara brandingnya. Goks,keren cukk cara brandingnya goks
"Sertifikat halal suruh tunjukin.
Ijazah tunjukin ..!!",sertifikat halal suruh tunjukin ijazah tunjukin
"Gila si panji harusnya malu sih,orang yang udah di roasting and di hina fisiknya sama dia bisa2nya selegowo and sesabar ini nanggepinnya.",gila si panji harusnya malu sihorang yang udah di roasting and di hina fisiknya sama dia bisanya selegowo and sesabar ini nanggepinnya
😢😢😢😢😢😢🎉🎉🎉🎉🎉😊😊😊😅😅😮😮😮😮😂😂😂❤❤❤❤,
BGSTTT GUA KIRA EDITAN SI GIBRAN,bgsttt gua kira editan si gibran
18 menit kurang satttttt,menit kurang satttttt
bang muslim kan perawat kenapa ga nanyain tentang pppk mbg dibanding guru atau perawat yg honor😂🙏🏻,bang muslim kan perawat kenapa ga nanyain tentang pppk mbg dibanding guru atau perawat yg honor
The next mutant kah ini?,the next mutant kah ini
"Dulu waktu Jd fufufafa, awal2 d media, omongan lancar, mata Ndak ngantuk. Gimick saja ketika terjun politik, nada suara dll",dulu waktu jd fufufafa awal d media omongan lancar mata ndak ngantuk gimick saja ketika terjun politik nada suara dll
sesosok pria solo yang sebenarnya :v,sesosok pria solo yang sebenarnya v
tretan coki anj wkwkwk,tretan coki anj wkwkwk
"APAAN KURANG BANGETTT, DURASINYA JOKENYA, ROASTINGANNYA, FUFUFAFANYA PERTANYAANNYA🤬🤬🤬🤬🤬🤬🤬🤬",apaan kurang bangettt durasinya jokenya roastingannya fufufafanya pertanyaannya
udah ditepi jurang pantai selatan inii,udah ditepi jurang pantai selatan inii
"5:16 anjay gk ngotak lg roasting wapres,
di luar udh ada paspampres bawa sniper 😂",anjay gk ngotak lg roasting wapres di luar udh ada paspampres bawa sniper
Wapres egk ada harga diri nya,wapres egk ada harga diri nya
"podcast mahal ini, bintang tamunya wapres 😅",podcast mahal ini bintang tamunya wapres
PENDUKUNG ANIS PASTI KESAL AJA NI🤣🤣🤣,pendukung anis pasti kesal aja ni
"Sabar bapak wakil presiden, memang udah kelewatan sih, masih ada karma yg bisa membalas nya",sabar bapak wakil presiden memang udah kelewatan sih masih ada karma yg bisa membalas nya
Gw kira orang mirip gibran,gw kira orang mirip gibran
okelah gibran disini 😂,okelah gibran disini
Nah ini yg keren. Jokes pinggir jurang tpi enak dengarnya,nah ini yg keren jokes pinggir jurang tpi enak dengarnya
Kasih jempol 👍🏻 hanya karena coki dan slim,kasih jempol hanya karena coki dan slim
h,h
❤❤❤,
Apa itu mens rea? Roasting langsung depan orangnya dong😂,apa itu mens rea roasting langsung depan orangnya dong
"Ini bukan tepi jurang lagi,tapi lagi di dlm jurang...😂😂😂😂",ini bukan tepi jurang lagitapi lagi di dlm jurang
"Bang jujur nanya, yang lagi kerja dibelakang itu beneran karyawan atau menyamar jadi karyawan? 🤣",bang jujur nanya yang lagi kerja dibelakang itu beneran karyawan atau menyamar jadi karyawan
pria solo yang mesam mesem,pria solo yang mesam mesem
MENS REA NGALAHAIN ANIME KATA NYA WKWK,mens rea ngalahain anime kata nya wkwk
Informatika sama IT bedanya apa?,informatika sama it bedanya apa
"Masih heran sama orang2 yg sebel sama panji gara2 panji ngomongin gibran sedangkan gibrannya santai2 aja, yg kesinggung malah orang lain😂",masih heran sama orang yg sebel sama panji gara panji ngomongin gibran sedangkan gibrannya santai aja yg kesinggung malah orang lain
"jokesku sebatas kiper dipegangin ""pas pampres"" tp typo ""pas pampers"" 🤣",jokesku sebatas kiper dipegangin pas pampres tp typo pas pampers
Menyala pak wapres,menyala pak wapres
Jangan lama2 takut kelewat wkwkkw😂,jangan lama takut kelewat wkwkkw
